USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 166740  8568 ?        Ss   09:38   0:02 /sbin/init auto noprompt splash
root          37  0.0  0.0      0     0 ?        SN   09:38   0:00 [khugepaged]
root          38  0.0  0.0      0     0 ?        I<   09:38   0:00 [kintegrityd]
root          39  0.0  0.0      0     0 ?        I<   09:38   0:00 [kblockd]
root          40  0.0  0.0      0     0 ?        I<   09:38   0:00 [blkcg_punt_bio]
root          41  0.0  0.0      0     0 ?        I<   09:38   0:00 [tpm_dev_wq]
root          42  0.0  0.0      0     0 ?        I<   09:38   0:00 [ata_sff]
root          43  0.0  0.0      0     0 ?        I<   09:38   0:00 [md]
root          44  0.0  0.0      0     0 ?        I<   09:38   0:00 [edac-poller]
root          45  0.0  0.0      0     0 ?        I<   09:38   0:00 [devfreq_wq]
root          46  0.0  0.0      0     0 ?        S    09:38   0:00 [watchdogd]
root          48  0.0  0.0      0     0 ?        I<   09:38   0:02 [kworker/1:1H-kblockd]
root          49  0.0  0.0      0     0 ?        S    09:38   0:05 [kswapd0]
root          50  0.0  0.0      0     0 ?        S    09:38   0:00 [ecryptfs-kthread]
root          51  0.0  0.0      0     0 ?        I<   09:38   0:00 [kthrotld]
root          52  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/24-pciehp]
root          53  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/25-pciehp]
root          54  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/26-pciehp]
root          55  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/27-pciehp]
root          56  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/28-pciehp]
root          57  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/29-pciehp]
root          58  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/30-pciehp]
root          59  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/31-pciehp]
root          60  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/32-pciehp]
root          61  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/33-pciehp]
root          62  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/34-pciehp]
root          63  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/35-pciehp]
root          64  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/36-pciehp]
root          65  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/37-pciehp]
root          66  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/38-pciehp]
root          67  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/39-pciehp]
root          68  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/40-pciehp]
root          69  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/41-pciehp]
root          70  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/42-pciehp]
root          71  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/43-pciehp]
root          72  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/44-pciehp]
root          73  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/45-pciehp]
root          74  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/46-pciehp]
root          75  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/47-pciehp]
root          76  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/48-pciehp]
root          77  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/49-pciehp]
root          78  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/50-pciehp]
root          79  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/51-pciehp]
root          80  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/52-pciehp]
root          81  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/53-pciehp]
root          82  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/54-pciehp]
root          83  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/55-pciehp]
root          84  0.0  0.0      0     0 ?        I<   09:38   0:00 [acpi_thermal_pm]
root          85  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_0]
root          86  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_0]
root          87  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_1]
root          88  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_1]
root          92  0.0  0.0      0     0 ?        I<   09:38   0:00 [mld]
root          93  0.0  0.0      0     0 ?        I<   09:38   0:00 [kworker/0:1H-kblockd]
root          94  0.0  0.0      0     0 ?        I<   09:38   0:00 [ipv6_addrconf]
root         102  0.0  0.0      0     0 ?        I<   09:38   0:00 [kstrp]
root         104  0.0  0.0      0     0 ?        I<   09:38   0:00 [zswap-shrink]
root         105  0.0  0.0      0     0 ?        I<   09:38   0:00 [kworker/u257:0-hci0]
root         109  0.0  0.0      0     0 ?        I<   09:38   0:00 [charger_manager]
root         153  0.0  0.0      0     0 ?        I<   09:38   0:00 [mpt_poll_0]
root         154  0.0  0.0      0     0 ?        I<   09:38   0:00 [mpt/0]
root         155  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_2]
root         156  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_2]
root         157  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_3]
root         158  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_3]
root         159  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_4]
root         160  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_4]
root         161  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_5]
root         162  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_5]
root         163  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_6]
root         164  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_6]
root         165  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_7]
root         166  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_7]
root         167  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_8]
root         168  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_8]
root         169  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_9]
root         170  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_9]
root         171  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_10]
root         172  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_10]
root         173  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_11]
root         174  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_11]
root         175  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_12]
root         176  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_12]
root         177  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_13]
root         178  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_13]
root         179  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_14]
root         180  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_14]
root         181  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_15]
root         182  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_15]
root         183  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_16]
root         184  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_16]
root         185  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_17]
root         186  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_17]
root         189  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_18]
root         195  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_18]
root         196  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_19]
root         197  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_19]
root         199  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_20]
root         200  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_20]
root         201  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_21]
root         202  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_21]
root         203  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_22]
root         204  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_22]
root         205  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_23]
root         206  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_23]
root         207  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_24]
root         208  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_24]
root         209  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_25]
root         210  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_25]
root         211  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_26]
root         212  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_26]
root         213  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_27]
root         214  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_27]
root         215  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_28]
root         216  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_28]
root         217  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_29]
root         218  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_29]
root         219  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_30]
root         220  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_30]
root         221  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_31]
root         222  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_31]
root         249  0.0  0.0      0     0 ?        S    09:38   0:00 [scsi_eh_32]
root         250  0.0  0.0      0     0 ?        I<   09:38   0:00 [scsi_tmf_32]
root         277  0.0  0.0      0     0 ?        S    09:38   0:01 [jbd2/sda3-8]
root         278  0.0  0.0      0     0 ?        I<   09:38   0:00 [ext4-rsv-conver]
root         317  0.0  0.3  79056 14208 ?        S<s  09:38   0:01 /lib/systemd/systemd-journald
root         347  0.0  0.0 152560  1292 ?        Ssl  09:38   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         352  0.0  0.0      0     0 ?        S    09:38   0:12 [irq/16-vmwgfx]
root         368  0.0  0.1  27412  5632 ?        Ss   09:38   0:00 /lib/systemd/systemd-udevd
root         476  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/57-vmw_vmci]
root         477  0.0  0.0      0     0 ?        S    09:38   0:00 [irq/58-vmw_vmci]
root         513  0.0  0.0      0     0 ?        I<   09:38   0:00 [kworker/u257:2-hci0]
systemd+     555  0.1  0.1  14828  4480 ?        Ss   09:38   0:42 /lib/systemd/systemd-oomd
systemd+     561  0.0  0.2  25664  9568 ?        Ss   09:38   0:00 /lib/systemd/systemd-resolved
systemd+     562  0.0  0.1  89380  5120 ?        Ssl  09:38   0:00 /lib/systemd/systemd-timesyncd
root         577  0.0  0.1  56828  6912 ?        Ss   09:38   0:00 /usr/bin/VGAuthService
root         579  0.1  0.1 320528  6528 ?        Ssl  09:38   0:40 /usr/bin/vmtoolsd
root         590  0.0  0.0      0     0 ?        I<   09:38   0:00 [cryptd]
root         648  0.0  0.1 243072  6748 ?        Ssl  09:38   0:00 /usr/libexec/accounts-daemon
root         650  0.0  0.0   2812  1920 ?        Ss   09:38   0:00 /usr/sbin/acpid
avahi        654  0.0  0.0   7624  3712 ?        Ss   09:38   0:00 avahi-daemon: running [tourist.local]
root         657  0.0  0.0  12580  3200 ?        Ss   09:38   0:00 /usr/sbin/cron -f -P
message+     658  0.0  0.1  10840  6144 ?        Ss   09:38   0:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         659  0.0  0.3 264068 12880 ?        Ssl  09:38   0:02 /usr/sbin/NetworkManager --no-daemon
root         669  0.0  0.0  82828  3584 ?        Ssl  09:38   0:02 /usr/sbin/irqbalance --foreground
root         676  0.0  0.3  44120 14956 ?        Ss   09:38   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         677  0.0  0.2 236860  8840 ?        Ssl  09:38   0:00 /usr/libexec/polkitd --no-debug
root         680  0.0  0.1 243176  6400 ?        Ssl  09:38   0:00 /usr/libexec/power-profiles-daemon
syslog       688  0.0  0.1 222400  5376 ?        Ssl  09:38   0:00 /usr/sbin/rsyslogd -n -iNONE
root         694  0.0  0.4 1393376 16100 ?       Ssl  09:38   0:04 /usr/lib/snapd/snapd
root         698  0.0  0.1 239576  5632 ?        Ssl  09:38   0:00 /usr/libexec/switcheroo-control
root         704  0.0  0.1  15444  5416 ?        Ss   09:38   0:00 /lib/systemd/systemd-logind
root         710  0.0  0.2 393296  9292 ?        Ssl  09:38   0:00 /usr/libexec/udisks2/udisksd
root         723  0.0  0.1  16496  4480 ?        Ss   09:38   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        746  0.0  0.0   7440  1300 ?        S    09:38   0:00 avahi-daemon: chroot helper
root         757  0.0  0.2 244220  7932 ?        Ssl  09:38   0:00 /usr/sbin/ModemManager
root         764  0.0  0.1  10484  4352 ?        Ss   09:38   0:00 /usr/lib/bluetooth/bluetoothd
root         813  0.0  0.4 121228 16768 ?        Ssl  09:38   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         833  0.0  0.1 244308  7296 ?        Ssl  09:38   0:00 /usr/sbin/gdm3
root         839  0.0  0.2  76096 10240 ?        Ss   09:38   0:00 /usr/sbin/cupsd -l
root         852  0.0  0.2 173552  8704 ?        Sl   09:38   0:00 gdm-session-worker [pam/gdm-autologin]
sokee        904  0.0  0.1  17960  7168 ?        Ss   09:38   0:00 /lib/systemd/systemd --user
sokee        915  0.0  0.0 169844  3932 ?        S    09:38   0:00 (sd-pam)
root         923  0.0  0.2 172620  8320 ?        Ssl  09:38   0:00 /usr/sbin/cups-browsed
kernoops     964  0.0  0.0  13084  2080 ?        Ss   09:38   0:00 /usr/sbin/kerneloops --test
kernoops     974  0.0  0.0  13084  2064 ?        Ss   09:38   0:00 /usr/sbin/kerneloops
sokee       1077  0.0  0.1  42656  6272 ?        S<sl 09:38   0:00 /usr/bin/pipewire
sokee       1078  0.0  0.1  26544  5888 ?        Ssl  09:38   0:00 /usr/bin/pipewire-media-session
sokee       1079  0.0  0.4 1163196 16120 ?       S<sl 09:38   0:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
sokee       1083  0.0  0.0  76252  3200 ?        Ss   09:38   0:01 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
rtkit       1088  0.0  0.0 154000  3328 ?        SNsl 09:38   0:00 /usr/libexec/rtkit-daemon
sokee       1090  0.0  0.1 391464  5536 ?        SLl  09:38   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
sokee       1098  0.0  0.1  10000  5632 ?        Ss   09:38   0:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
sokee       1100  0.0  0.1 165472  5120 tty2     Ssl+ 09:38   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
sokee       1104  0.0  0.2 226124 10368 tty2     Sl+  09:38   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
sokee       1132  0.0  0.1 243840  6528 ?        Ssl  09:38   0:00 /usr/libexec/gvfsd
sokee       1143  0.0  0.1 380888  5376 ?        Sl   09:38   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
sokee       1165  0.0  0.1  94992  4992 ?        Ssl  09:38   0:00 /usr/libexec/gnome-session-ctl --monitor
sokee       1183  0.0  0.2 661472 11392 ?        Ssl  09:38   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
sokee       1201  0.0  0.1 309580  6144 ?        Sl   09:38   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
sokee       1203  1.3  4.0 4188000 161792 ?      Ssl  09:38   5:45 /usr/bin/gnome-shell
sokee       1229  0.0  0.1   8560  4096 ?        S    09:38   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
sokee       1248  0.0  0.1 466256  6784 ?        Ssl  09:38   0:00 /usr/libexec/xdg-document-portal
sokee       1257  0.0  0.1 239236  5248 ?        Ssl  09:38   0:00 /usr/libexec/xdg-permission-store
root        1267  0.0  0.0   2792  1792 ?        Ss   09:38   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
sokee       1369  0.0  0.1 582724  7424 ?        Sl   09:39   0:00 /usr/libexec/gnome-shell-calendar-server
sokee       1375  0.0  0.3 1075256 13568 ?       Ssl  09:39   0:00 /usr/libexec/evolution-source-registry
sokee       1376  0.0  0.2 306064 11000 ?        Sl   09:39   0:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
root        1377  0.0  0.1 319036  6528 ?        Ssl  09:39   0:00 /usr/libexec/upowerd
sokee       1384  0.0  0.3 626860 11904 ?        Ssl  09:39   0:01 /usr/libexec/xdg-desktop-portal
sokee       1391  0.0  0.4 665980 16444 ?        Ssl  09:39   0:00 /usr/libexec/xdg-desktop-portal-gnome
sokee       1396  0.0  0.4 581368 15872 ?        Sl   09:39   0:00 /usr/libexec/goa-daemon
sokee       1399  0.0  0.2 319104  8704 ?        Ssl  09:39   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
sokee       1407  0.0  0.3 1187580 14848 ?       Ssl  09:39   0:00 /usr/libexec/evolution-calendar-factory
sokee       1410  0.0  0.1 239716  5504 ?        Ssl  09:39   0:00 /usr/libexec/gvfs-goa-volume-monitor
sokee       1424  0.0  0.2 341484  9984 ?        Sl   09:39   0:00 /usr/libexec/goa-identity-service
sokee       1428  0.0  0.1 318292  6144 ?        Ssl  09:39   0:01 /usr/libexec/gvfs-afc-volume-monitor
sokee       1438  0.0  0.1 239544  5632 ?        Ssl  09:39   0:00 /usr/libexec/gvfs-mtp-volume-monitor
sokee       1444  0.0  0.1 156948  4864 ?        Ssl  09:39   0:00 /usr/libexec/dconf-service
sokee       1445  0.0  0.3 675288 13952 ?        Ssl  09:39   0:00 /usr/libexec/evolution-addressbook-factory
sokee       1451  0.0  0.1 240628  5888 ?        Ssl  09:39   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1462  0.0  0.3 301292 13124 ?        Ssl  09:39   0:00 /usr/libexec/packagekitd
sokee       1472  0.0  0.1 317944  7296 ?        Sl   09:39   0:00 /usr/libexec/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
sokee       1481  0.0  0.1 162680  5760 ?        Sl   09:39   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
sokee       1482  0.0  0.4 2602520 16980 ?       Sl   09:39   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
sokee       1489  0.0  0.0   2888  1536 ?        Ss   09:39   0:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
sokee       1494  0.0  0.1 313472  5888 ?        Ssl  09:39   0:00 /usr/libexec/gsd-a11y-settings
sokee       1499  0.0  0.2 318388  9192 ?        Sl   09:39   0:00 /usr/bin/ibus-daemon --panel disable
sokee       1502  0.0  0.4 601576 16644 ?        Ssl  09:39   0:00 /usr/libexec/gsd-color
sokee       1504  0.0  0.2 378512 10752 ?        Ssl  09:39   0:00 /usr/libexec/gsd-datetime
sokee       1511  0.0  0.1 314968  6656 ?        Ssl  09:39   0:01 /usr/libexec/gsd-housekeeping
sokee       1515  0.0  0.3 343640 14212 ?        Ssl  09:39   0:00 /usr/libexec/gsd-keyboard
sokee       1517  0.0  0.4 646036 16772 ?        Ssl  09:39   0:00 /usr/libexec/gsd-media-keys
sokee       1524  0.0  0.4 379876 16772 ?        Ssl  09:39   0:00 /usr/libexec/gsd-power
sokee       1526  0.0  0.2 252940  8832 ?        Ssl  09:39   0:00 /usr/libexec/gsd-print-notifications
sokee       1530  0.0  0.1 460940  5760 ?        Ssl  09:39   0:00 /usr/libexec/gsd-rfkill
sokee       1531  0.0  0.1 239372  5376 ?        Ssl  09:39   0:00 /usr/libexec/gsd-screensaver-proxy
sokee       1536  0.0  0.1 468992  7808 ?        Ssl  09:39   0:00 /usr/libexec/gsd-sharing
sokee       1538  0.0  0.1 240392  5248 ?        Sl   09:39   0:00 /usr/libexec/ibus-dconf
sokee       1548  0.0  0.1 389080  6528 ?        Ssl  09:39   0:00 /usr/libexec/gsd-smartcard
sokee       1552  0.0  0.8 822108 31992 ?        Sl   09:39   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
sokee       1553  0.0  0.5 350784 20284 ?        Sl   09:39   0:01 /usr/libexec/ibus-extension-gtk3
sokee       1555  0.0  0.1 322388  7808 ?        Ssl  09:39   0:00 /usr/libexec/gsd-sound
sokee       1558  0.0  0.3 344208 14724 ?        Ssl  09:39   0:00 /usr/libexec/gsd-wacom
sokee       1565  0.0  0.1 240340  6144 ?        Sl   09:39   0:00 /usr/libexec/ibus-portal
sokee       1587  0.0  0.1 232264  6016 ?        Sl   09:39   0:00 /usr/libexec/gsd-disk-utility-notify
sokee       1632  0.1  0.8 302680 32172 ?        Sl   09:39   0:38 /usr/bin/vmtoolsd -n vmusr --blockFd 3 --uinputFd 4
sokee       1635  0.0  0.2 345440 10368 ?        Sl   09:39   0:00 /usr/libexec/gsd-printer
sokee       1640  0.0  0.1 166108  5760 ?        Ssl  09:39   0:00 /usr/libexec/gvfsd-metadata
sokee       1690  0.0  0.1 166564  5760 ?        Sl   09:39   0:00 /usr/libexec/ibus-engine-simple
sokee       1693  0.7  1.3 380240 53024 ?        S    09:39   3:05 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.WFM4D2 -listen 4 -listen 5 -displayfd 6 -initfd 7
sokee       1700  0.0  0.4 347532 18180 ?        Ssl  09:39   0:00 /usr/libexec/xdg-desktop-portal-gtk
colord      1704  0.0  0.2 248400 10172 ?        Ssl  09:39   0:00 /usr/libexec/colord
sokee       1712  0.0  0.3 636468 15372 ?        SNsl 09:39   0:00 /usr/libexec/tracker-miner-fs-3
sokee       1731  0.0  0.4 2602572 16940 ?       Sl   09:39   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
sokee       1760  0.0  1.1 2813328 45872 ?       Sl   09:39   0:08 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1920:1080:1:27:0:70:0:0
sokee       1779  0.0  0.7 548056 30060 ?        Ssl  09:39   0:00 /usr/libexec/gsd-xsettings
sokee       1814  0.0  0.4 197292 17844 ?        Sl   09:39   0:00 /usr/libexec/ibus-x11
sokee       1919  0.5  2.4 1177538748 98432 ?    SLl  09:39   2:23 /usr/share/code/code --unity-launch
sokee       1923  0.0  0.3 33773072 13440 ?      S    09:39   0:00 /usr/share/code/code --type=zygote --no-zygote-sandbox
sokee       1924  0.0  0.3 33773060 15104 ?      S    09:39   0:00 /usr/share/code/code --type=zygote
sokee       1926  0.0  0.1 33773088 5024 ?       S    09:39   0:00 /usr/share/code/code --type=zygote
sokee       1940  0.0  0.0 33575876 2176 ?       Sl   09:39   0:00 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/sokee/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=c6f4a65c-3649-4707-9bc1-030523967de3&iid=c6f4a65c-3649-4707-9bc1-030523967de3&sid=c6f4a65c-3649-4707-9bc1-030523967de3 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.83.1 --annotation=lsb-release=Ubuntu 22.04.3 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=25.8.4 --initial-client-fd=42 --shared-client-connection
sokee       1954  1.5  1.5 34137604 61600 ?      Sl   09:39   6:48 /usr/share/code/code --type=gpu-process --crashpad-handler-pid=1940 --enable-crash-reporter=444005ab-e647-4070-bed6-4f0fe3a2b2ce,no_channel --user-data-dir=/home/sokee/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,6598172007022052106,17706567831821965806,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
